platform,simulator,dataset_variant,summary,score
Visium,SRTsim-rb-tissue,Spapros,Balanced Realism,0.9699164526378011
Visium,SRTsim-rb-tissue,Spapros,Spatial Tissue Fidelity,0.9674536453440755
Visium,SRTsim-rb-tissue,Spapros,Novelty-Gated Plausibility,0.0004091122667137736
Visium,SRTsim-rb-tissue,Spapros,Conservative Minimum Plausibility,0.9175158071689815
Visium,SRTsim-rb-tissue,Spapros,coverage_Q,1.0
Visium,SRTsim-rb-tissue,Spapros,novelty_gate,0.0004218015537329478
Visium,SRTsim-rb-tissue,Spapros,copy_similarity,0.9999789099223133
MERFISH,scCube-rfb,SpatialDE,Balanced Realism,0.8490818559482994
MERFISH,scCube-rfb,SpatialDE,Spatial Tissue Fidelity,0.9186411135820176
MERFISH,scCube-rfb,SpatialDE,Novelty-Gated Plausibility,0.8490818559482994
MERFISH,scCube-rfb,SpatialDE,Conservative Minimum Plausibility,0.6404040830471451
MERFISH,scCube-rfb,SpatialDE,coverage_Q,1.0
MERFISH,scCube-rfb,SpatialDE,novelty_gate,1.0
MERFISH,scCube-rfb,SpatialDE,copy_similarity,0.7773507141305905
MERFISH,scDesign3-rb,SpatialDE,Balanced Realism,0.9409636948436171
MERFISH,scDesign3-rb,SpatialDE,Spatial Tissue Fidelity,0.9395965339939195
MERFISH,scDesign3-rb,SpatialDE,Novelty-Gated Plausibility,0.8102788529620971
MERFISH,scDesign3-rb,SpatialDE,Conservative Minimum Plausibility,0.8189605702161846
MERFISH,scDesign3-rb,SpatialDE,coverage_Q,1.0
MERFISH,scDesign3-rb,SpatialDE,novelty_gate,0.8611159573980811
MERFISH,scDesign3-rb,SpatialDE,copy_similarity,0.9569442021300959
Visium,SRTsim-rb-domain,Spapros,Balanced Realism,0.9734856500361938
Visium,SRTsim-rb-domain,Spapros,Spatial Tissue Fidelity,0.9704495379778967
Visium,SRTsim-rb-domain,Spapros,Novelty-Gated Plausibility,0.00019872944634162558
Visium,SRTsim-rb-domain,Spapros,Conservative Minimum Plausibility,0.9177973352828575
Visium,SRTsim-rb-domain,Spapros,coverage_Q,1.0
Visium,SRTsim-rb-domain,Spapros,novelty_gate,0.0002041421425515999
Visium,SRTsim-rb-domain,Spapros,copy_similarity,0.9999897928928724
Visium,SRTsim-rb-domain,SpatialDE,Balanced Realism,0.9916075386732857
Visium,SRTsim-rb-domain,SpatialDE,Spatial Tissue Fidelity,0.9928545784660506
Visium,SRTsim-rb-domain,SpatialDE,Novelty-Gated Plausibility,0.0006190500140322067
Visium,SRTsim-rb-domain,SpatialDE,Conservative Minimum Plausibility,0.9858181205703294
Visium,SRTsim-rb-domain,SpatialDE,coverage_Q,1.0
Visium,SRTsim-rb-domain,SpatialDE,novelty_gate,0.0006242893381593895
Visium,SRTsim-rb-domain,SpatialDE,copy_similarity,0.999968785533092
Visium,SpatialcoGCN-rb,SpatialDE,Balanced Realism,0.40057756044281345
Visium,SpatialcoGCN-rb,SpatialDE,Spatial Tissue Fidelity,0.4911867472570846
Visium,SpatialcoGCN-rb,SpatialDE,Novelty-Gated Plausibility,0.40057756044281345
Visium,SpatialcoGCN-rb,SpatialDE,Conservative Minimum Plausibility,0.12874999999999992
Visium,SpatialcoGCN-rb,SpatialDE,coverage_Q,1.0
Visium,SpatialcoGCN-rb,SpatialDE,novelty_gate,1.0
Visium,SpatialcoGCN-rb,SpatialDE,copy_similarity,0.7208271496754248
MERFISH,SRTsim-rb-domain,SpatialDE,Balanced Realism,0.9756298440370375
MERFISH,SRTsim-rb-domain,SpatialDE,Spatial Tissue Fidelity,0.9827724073974359
MERFISH,SRTsim-rb-domain,SpatialDE,Novelty-Gated Plausibility,0.006960815046172439
MERFISH,SRTsim-rb-domain,SpatialDE,Conservative Minimum Plausibility,0.9484855382925061
MERFISH,SRTsim-rb-domain,SpatialDE,coverage_Q,1.0
MERFISH,SRTsim-rb-domain,SpatialDE,novelty_gate,0.007134688518105836
MERFISH,SRTsim-rb-domain,SpatialDE,copy_similarity,0.9996432655740947
Visium,SRTsim-rf-tissue,SpatialDE,Balanced Realism,0.9498699451551729
Visium,SRTsim-rf-tissue,SpatialDE,Spatial Tissue Fidelity,0.9429076293846474
Visium,SRTsim-rf-tissue,SpatialDE,Novelty-Gated Plausibility,0.0011154301197067364
Visium,SRTsim-rf-tissue,SpatialDE,Conservative Minimum Plausibility,0.9072413479817438
Visium,SRTsim-rf-tissue,SpatialDE,coverage_Q,1.0
Visium,SRTsim-rf-tissue,SpatialDE,novelty_gate,0.001174297729279683
Visium,SRTsim-rf-tissue,SpatialDE,copy_similarity,0.999941285113536
Visium,SRTsim-rf-tissue,Spapros,Balanced Realism,0.9026523452936988
Visium,SRTsim-rf-tissue,Spapros,Spatial Tissue Fidelity,0.8793221666459002
Visium,SRTsim-rf-tissue,Spapros,Novelty-Gated Plausibility,0.00014894773041371323
Visium,SRTsim-rf-tissue,Spapros,Conservative Minimum Plausibility,0.7981252968052166
Visium,SRTsim-rf-tissue,Spapros,coverage_Q,1.0
Visium,SRTsim-rf-tissue,Spapros,novelty_gate,0.00016501118197975728
Visium,SRTsim-rf-tissue,Spapros,copy_similarity,0.999991749440901
MERFISH,SRTsim-rb-tissue,SpatialDE,Balanced Realism,0.9859846876665576
MERFISH,SRTsim-rb-tissue,SpatialDE,Spatial Tissue Fidelity,0.991724466257547
MERFISH,SRTsim-rb-tissue,SpatialDE,Novelty-Gated Plausibility,0.012694765625060602
MERFISH,SRTsim-rb-tissue,SpatialDE,Conservative Minimum Plausibility,0.9687653518935896
MERFISH,SRTsim-rb-tissue,SpatialDE,coverage_Q,1.0
MERFISH,SRTsim-rb-tissue,SpatialDE,novelty_gate,0.0128752157957992
MERFISH,SRTsim-rb-tissue,SpatialDE,copy_similarity,0.99935623921021
Visium,SRTsim-rf-domain,SpatialDE,Balanced Realism,0.9363602968985867
Visium,SRTsim-rf-domain,SpatialDE,Spatial Tissue Fidelity,0.9267324002525292
Visium,SRTsim-rf-domain,SpatialDE,Novelty-Gated Plausibility,0.00112007519329784
Visium,SRTsim-rf-domain,SpatialDE,Conservative Minimum Plausibility,0.9140519392986841
Visium,SRTsim-rf-domain,SpatialDE,coverage_Q,1.0
Visium,SRTsim-rf-domain,SpatialDE,novelty_gate,0.0011962010745305562
Visium,SRTsim-rf-domain,SpatialDE,copy_similarity,0.9999401899462734
MERFISH,SRTsim-rf-domain,SpatialDE,Balanced Realism,0.9121074759989374
MERFISH,SRTsim-rf-domain,SpatialDE,Spatial Tissue Fidelity,0.8993541047728758
MERFISH,SRTsim-rf-domain,SpatialDE,Novelty-Gated Plausibility,0.14907415318252545
MERFISH,SRTsim-rf-domain,SpatialDE,Conservative Minimum Plausibility,0.872516050918591
MERFISH,SRTsim-rf-domain,SpatialDE,coverage_Q,1.0
MERFISH,SRTsim-rf-domain,SpatialDE,novelty_gate,0.16343924055579073
MERFISH,SRTsim-rf-domain,SpatialDE,copy_similarity,0.9918280379722104
MERFISH,SRTsim-rf-tissue,SpatialDE,Balanced Realism,0.9064120931223143
MERFISH,SRTsim-rf-tissue,SpatialDE,Spatial Tissue Fidelity,0.8907142316929035
MERFISH,SRTsim-rf-tissue,SpatialDE,Novelty-Gated Plausibility,0.009141165606613632
MERFISH,SRTsim-rf-tissue,SpatialDE,Conservative Minimum Plausibility,0.8439272581856616
MERFISH,SRTsim-rf-tissue,SpatialDE,coverage_Q,1.0
MERFISH,SRTsim-rf-tissue,SpatialDE,novelty_gate,0.010084999611076562
MERFISH,SRTsim-rf-tissue,SpatialDE,copy_similarity,0.9994957500194461
Visium,SpatialcoGCN-rb,Spapros,Balanced Realism,0.407007078760692
Visium,SpatialcoGCN-rb,Spapros,Spatial Tissue Fidelity,0.49488520387689805
Visium,SpatialcoGCN-rb,Spapros,Novelty-Gated Plausibility,0.407007078760692
