platform,simulator,dataset_variant,perturbation,replicate,summary,score,delta,expected_damaged_layer,evidence_state
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,0,Balanced Realism,0.6686519151855776,-0.3012645374522235,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,0,Spatial Tissue Fidelity,0.5657675954077775,-0.401686049936298,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,0,Novelty-Gated Plausibility,0.0002820384167317879,-0.00012707384998198574,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,1,Balanced Realism,0.755178696768461,-0.21473775586934007,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,1,Spatial Tissue Fidelity,0.6811366375182888,-0.28631700782578673,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,1,Novelty-Gated Plausibility,0.0003185355476429595,-9.05767190708141e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,2,Balanced Realism,0.6614172708126573,-0.3084991818251438,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,2,Spatial Tissue Fidelity,0.5561214029105508,-0.41133224243352473,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,2,Novelty-Gated Plausibility,0.00027898683249458477,-0.00013012543421918885,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,3,Balanced Realism,0.7033814318587278,-0.2665350207790733,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,3,Spatial Tissue Fidelity,0.6120736176386447,-0.35538002770543087,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,3,Novelty-Gated Plausibility,0.00029668738082491697,-0.00011242488588885665,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,4,Balanced Realism,0.6557613435932402,-0.3141551090445609,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,4,Spatial Tissue Fidelity,0.5485801666179946,-0.41887347872608094,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,coordinate_shuffle,4,Novelty-Gated Plausibility,0.0002766011536056342,-0.00013251111310813942,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,label_shuffle,0,Balanced Realism,0.8781747207673554,-0.09174173187044576,proximity,computed
Visium,SRTsim-rb-tissue,Spapros,label_shuffle,0,Spatial Tissue Fidelity,0.8451313361834814,-0.12232230916059417,proximity,computed
Visium,SRTsim-rb-tissue,Spapros,label_shuffle,0,Novelty-Gated Plausibility,0.0003704154616686681,-3.869680504510551e-05,proximity,computed
